date,state,crop_name,category,farm_price_rm,wholesale_price_rm,retail_price_rm
2025-10-02,Johor,Cili Merah,Sayur,7.6,9.97,12.21
2025-10-02,Johor,Cili Akar,Sayur,9.5,11.27,14.79
2025-10-02,Johor,Kobis Bulat,Sayur,2.5,3.13,4.41
2025-10-02,Johor,Sawi Bulat,Sayur,3.99,4.99,6.36
2025-10-02,Johor,Tomato,Sayur,2.97,4.13,5.32
2025-10-02,Johor,Timun,Sayur,2.39,2.94,4.11
2025-10-02,Johor,Kacang Panjang,Sayur,4.11,5.7,7.66
2025-10-02,Johor,Terung,Sayur,4.79,5.67,7.84
2025-10-02,Johor,Bayam,Sayur,2.84,3.75,5.01
2025-10-02,Johor,Kangkung,Sayur,2.8,3.49,4.23
2025-10-02,Johor,Bendi,Sayur,3.09,4.04,5.59
2025-10-02,Johor,Halia,Sayur,4.87,6.33,7.88
2025-10-02,Johor,Pisang Cavendish,Buah,2.83,3.85,4.74
2025-10-02,Johor,Betik,Buah,1.88,2.64,3.3
2025-10-02,Johor,Tembikai,Buah,1.72,2.19,2.62
2025-10-02,Johor,Nanas,Buah,2.07,2.95,4.04
2025-10-02,Kedah,Cili Merah,Sayur,7.42,9.26,11.62
2025-10-02,Kedah,Cili Akar,Sayur,7.2,9.06,10.69
2025-10-02,Kedah,Kobis Bulat,Sayur,2.47,3.17,3.86
2025-10-02,Kedah,Sawi Bulat,Sayur,3.62,4.82,5.69
2025-10-02,Kedah,Tomato,Sayur,2.94,3.72,4.48
2025-10-02,Kedah,Timun,Sayur,1.37,1.88,2.35
2025-10-02,Kedah,Kacang Panjang,Sayur,3.38,4.11,5.53
2025-10-02,Kedah,Terung,Sayur,3.28,3.97,5.26
2025-10-02,Kedah,Bayam,Sayur,2.62,3.34,4.42
2025-10-02,Kedah,Kangkung,Sayur,2.59,3.09,4.15
2025-10-02,Kedah,Bendi,Sayur,2.75,3.55,4.95
2025-10-02,Kedah,Halia,Sayur,3.56,4.85,6.09
2025-10-02,Kedah,Pisang Cavendish,Buah,2.32,2.98,3.96
2025-10-02,Kedah,Betik,Buah,2.31,2.83,3.48
2025-10-02,Kedah,Tembikai,Buah,1.51,1.85,2.54
2025-10-02,Kedah,Nanas,Buah,1.91,2.67,3.57
2025-10-02,Kelantan,Cili Merah,Sayur,6.5,8.48,10.03
2025-10-02,Kelantan,Cili Akar,Sayur,9.38,11.15,13.65
2025-10-02,Kelantan,Kobis Bulat,Sayur,1.78,2.19,2.95
2025-10-02,Kelantan,Sawi Bulat,Sayur,1.67,2.21,2.96
2025-10-02,Kelantan,Tomato,Sayur,2.8,3.57,4.24
2025-10-02,Kelantan,Timun,Sayur,1.67,2.32,3.21
2025-10-02,Kelantan,Kacang Panjang,Sayur,3.64,4.53,5.83
2025-10-02,Kelantan,Terung,Sayur,3.05,3.87,5.44
2025-10-02,Kelantan,Bayam,Sayur,1.55,2.14,3.01
2025-10-02,Kelantan,Kangkung,Sayur,2.22,3.09,3.72
2025-10-02,Kelantan,Bendi,Sayur,2.76,3.85,4.57
2025-10-02,Kelantan,Halia,Sayur,4.82,5.9,7.08
2025-10-02,Kelantan,Pisang Cavendish,Buah,2.33,2.95,3.63
2025-10-02,Kelantan,Betik,Buah,1.7,2.1,2.95
2025-10-02,Kelantan,Tembikai,Buah,1.29,1.74,2.37
2025-10-02,Kelantan,Nanas,Buah,1.66,2.08,2.82
2025-10-02,Melaka,Cili Merah,Sayur,4.92,6.92,8.87
2025-10-02,Melaka,Cili Akar,Sayur,7.69,10.14,12.13
2025-10-02,Melaka,Kobis Bulat,Sayur,2.07,2.88,3.79
2025-10-02,Melaka,Sawi Bulat,Sayur,3.01,4.29,5.84
2025-10-02,Melaka,Tomato,Sayur,2.44,3.18,4.44
2025-10-02,Melaka,Timun,Sayur,2.11,2.87,3.95
2025-10-02,Melaka,Kacang Panjang,Sayur,2.76,3.67,4.93
2025-10-02,Melaka,Terung,Sayur,3.22,3.92,5.05
2025-10-02,Melaka,Bayam,Sayur,2.68,3.32,3.97
2025-10-02,Melaka,Kangkung,Sayur,1.82,2.29,2.98
2025-10-02,Melaka,Bendi,Sayur,3.0,3.96,5.3
2025-10-02,Melaka,Halia,Sayur,4.39,5.57,6.86
2025-10-02,Melaka,Pisang Cavendish,Buah,2.55,3.02,3.72
2025-10-02,Melaka,Betik,Buah,1.75,2.08,2.68
2025-10-02,Melaka,Tembikai,Buah,2.18,2.59,3.19
2025-10-02,Melaka,Nanas,Buah,1.99,2.55,3.5
2025-10-02,Negeri Sembilan,Cili Merah,Sayur,5.23,6.58,8.4
2025-10-02,Negeri Sembilan,Cili Akar,Sayur,7.11,9.19,11.59
2025-10-02,Negeri Sembilan,Kobis Bulat,Sayur,1.86,2.34,3.31
2025-10-02,Negeri Sembilan,Sawi Bulat,Sayur,2.85,3.66,4.92
2025-10-02,Negeri Sembilan,Tomato,Sayur,4.01,5.01,6.0
2025-10-02,Negeri Sembilan,Timun,Sayur,1.94,2.45,3.24
2025-10-02,Negeri Sembilan,Kacang Panjang,Sayur,3.77,4.94,6.39
2025-10-02,Negeri Sembilan,Terung,Sayur,3.96,4.97,6.67
2025-10-02,Negeri Sembilan,Bayam,Sayur,1.96,2.49,2.94
2025-10-02,Negeri Sembilan,Kangkung,Sayur,2.38,2.92,3.61
2025-10-02,Negeri Sembilan,Bendi,Sayur,2.87,3.84,5.27
2025-10-02,Negeri Sembilan,Halia,Sayur,4.4,5.46,7.1
2025-10-02,Negeri Sembilan,Pisang Cavendish,Buah,2.62,3.39,4.24
2025-10-02,Negeri Sembilan,Betik,Buah,1.49,1.95,2.73
2025-10-02,Negeri Sembilan,Tembikai,Buah,1.72,2.31,3.12
2025-10-02,Negeri Sembilan,Nanas,Buah,1.97,2.51,3.22
2025-10-02,Pahang,Cili Merah,Sayur,6.98,8.59,12.22
2025-10-02,Pahang,Cili Akar,Sayur,8.73,11.67,14.21
2025-10-02,Pahang,Kobis Bulat,Sayur,1.93,2.54,3.15
2025-10-02,Pahang,Sawi Bulat,Sayur,1.71,2.41,3.43
2025-10-02,Pahang,Tomato,Sayur,2.41,3.32,4.64
2025-10-02,Pahang,Timun,Sayur,2.38,2.89,3.77
2025-10-02,Pahang,Kacang Panjang,Sayur,3.88,5.37,6.98
2025-10-02,Pahang,Terung,Sayur,3.43,4.11,4.91
2025-10-02,Pahang,Bayam,Sayur,1.87,2.27,2.84
2025-10-02,Pahang,Kangkung,Sayur,1.66,2.16,2.98
2025-10-02,Pahang,Bendi,Sayur,3.75,4.44,5.72
2025-10-02,Pahang,Halia,Sayur,3.25,4.16,5.5
2025-10-02,Pahang,Pisang Cavendish,Buah,2.11,2.87,3.85
2025-10-02,Pahang,Betik,Buah,1.61,1.9,2.66
2025-10-02,Pahang,Tembikai,Buah,1.65,2.06,2.49
2025-10-02,Pahang,Nanas,Buah,1.92,2.62,3.29
2025-10-02,Perak,Cili Merah,Sayur,5.86,7.3,8.78
2025-10-02,Perak,Cili Akar,Sayur,8.51,11.11,15.51
2025-10-02,Perak,Kobis Bulat,Sayur,2.41,3.22,4.2
2025-10-02,Perak,Sawi Bulat,Sayur,2.45,3.37,4.22
2025-10-02,Perak,Tomato,Sayur,3.28,4.52,6.09
2025-10-02,Perak,Timun,Sayur,1.76,2.28,2.74
2025-10-02,Perak,Kacang Panjang,Sayur,3.02,3.79,5.05
2025-10-02,Perak,Terung,Sayur,2.72,3.53,4.94
2025-10-02,Perak,Bayam,Sayur,2.77,3.68,4.52
2025-10-02,Perak,Kangkung,Sayur,2.18,2.66,3.32
2025-10-02,Perak,Bendi,Sayur,3.47,4.34,6.14
2025-10-02,Perak,Halia,Sayur,3.14,4.47,5.58
2025-10-02,Perak,Pisang Cavendish,Buah,2.5,2.99,4.23
2025-10-02,Perak,Betik,Buah,1.93,2.39,2.82
2025-10-02,Perak,Tembikai,Buah,1.49,1.84,2.44
2025-10-02,Perak,Nanas,Buah,2.05,2.55,3.61
2025-10-02,Perlis,Cili Merah,Sayur,5.27,6.47,7.96
2025-10-02,Perlis,Cili Akar,Sayur,9.87,12.3,15.07
2025-10-02,Perlis,Kobis Bulat,Sayur,1.8,2.27,2.7
2025-10-02,Perlis,Sawi Bulat,Sayur,2.7,3.29,4.2
2025-10-02,Perlis,Tomato,Sayur,2.83,3.86,4.66
2025-10-02,Perlis,Timun,Sayur,1.33,1.7,2.42
2025-10-02,Perlis,Kacang Panjang,Sayur,4.25,5.39,6.97
2025-10-02,Perlis,Terung,Sayur,3.7,4.74,6.21
2025-10-02,Perlis,Bayam,Sayur,1.62,2.19,2.9
2025-10-02,Perlis,Kangkung,Sayur,1.6,2.08,2.63
2025-10-02,Perlis,Bendi,Sayur,3.45,4.32,5.75
2025-10-02,Perlis,Halia,Sayur,2.94,3.49,4.6
2025-10-02,Perlis,Pisang Cavendish,Buah,2.13,2.77,3.76
2025-10-02,Perlis,Betik,Buah,1.23,1.74,2.34
2025-10-02,Perlis,Tembikai,Buah,1.58,2.01,2.61
2025-10-02,Perlis,Nanas,Buah,1.78,2.1,2.81
2025-10-02,Pulau Pinang,Cili Merah,Sayur,7.3,9.71,13.12
